position,country,name,club,boots,age,height
Midfielder,Côte d'Ivoire,Christian Kouakou,,,33,182
Forward,-,Christian Kouamé,ACF Fiorentina,adidas F50 Elite LL,27,185
Forward,Germany,Christian Kühlwetter,,,28,182
Defender,Congo Dr,Christian Luyindama,,Puma Ultra Ultimate,31,191
Midfielder,Bolivia,Christian Machado,,,34,172
Defender,Italy,Christian Maggio,,Nike Phantom GT Elite,42,184
Goalkeeper,Germany,Christian Mathenia,1. FC Nürnberg,Nike Hypervenom Phantom III Elite DF,32,190
Defender,France,Christian Mawissa,AS Monaco,Nike Phantom GX 2 Elite,19,184
Defender,Italy,Christian Mora,,,27,184
Midfielder,Ecuador,Christian Noboa,,adidas Predator Elite,39,183
Midfielder,Denmark,Christian Nørgaard,Brentford FC,Puma Future 7 Ultimate,30,187
Forward,Denmark,Christian Offenberg,,,37,180
Midfielder,Uruguay,Christian Oliva,,adidas X Crazyfast Elite,28,178
Goalkeeper,Germany,Christian Ortag,,adidas Nitrocharge,29,191
Defender,Germany,Christian Pander,,adidas Predator LZ,41,186
Defender,Italy,Christian Pastina,Benevento Calcio,adidas Predator 20.1,23,185
Goalkeeper,Italy,Christian Puggioni,,adidas X Crazyfast Elite,43,186
Forward,United States,Christian Pulisic,AC Milan,Puma Ultra 5 Ultimate,26,177
Defender,Peru,Christian Ramos,,adidas X Crazyfast Elite,36,182
Forward,Denmark,Christian Rasmussen,Ajax Amsterdam,Nike Mercurial Vapor 16 Elite,21,184
Midfielder,Spain,Christian Rivera,,adidas X Crazyfast Elite,27,191
Defender,Spain,Christian Rutjens,,,27,185
Forward,Venezuela,Christian Santos,,Nike Mercurial Superfly 9 Elite,36,184
Forward,England,Christian Saydee,,,22,184
Defender,Germany,Christian Schulz,,adidas Predator Elite,41,185
Midfielder,Sweden,Christian Sivodedov,,adidas X Crazyfast Elite,27,177
Defender,Denmark,Christian Sørensen,FC Midtjylland,Nike Mercurial Vapor 15 Elite,32,179
Defender,Germany,Christian Strohdiek,,adidas Predator Elite LL,36,192
Defender,Germany,Christian Träsch,,Nike Mercurial Vapor XI Elite,37,180
Defender,Italy,Christian Travaglini,,,25,184
Defender,Italy,Christian Ventola,,,27,170
Goalkeeper,England,Christian Walton,,Nike Phantom VNM Elite,29,195
Goalkeeper,Germany,Christian Wetklo,,adidas Predator Elite,45,190
Goalkeeper,Germany,Christofer Heimeroth,,adidas Predator Elite,43,194
Goalkeeper,Denmark,Christoffer Haagh,,,37,184
Midfielder,Austria,Christoph Baumgartner,RB Leipzig,adidas X Crazyfast+,25,180
Forward,Germany,Christoph Daferner,,,26,189
Defender,Germany,Christoph Janker,,adidas X 17.1 Leather,39,185
Defender,Austria,Christoph Klarer,,adidas Copa Pure 2 Elite,24,191
Midfielder,Germany,Christoph Kramer,,adidas Copa 20.1,33,191
Midfielder,Germany,Christoph Moritz,,Nike Tiempo Legend VII Elite,34,186
Defender,Germany,Christoph Zimmermann,SV Darmstadt 98,adidas Predator Elite,31,194
Defender,Senegal,Christophe Diedhiou,,,37,191
Defender,Martinique,Christophe Hérelle,,Puma Future 7 Ultimate,32,191
Defender,France,Christophe Jallet,,adidas Predator Elite,41,178
Forward,-,Christophe Kabongo,FC Viktoria Plzeň,,21,188
Midfielder,France,Christophe Kerbrat,,adidas Predator Elite,38,185
Forward,France,Christophe Mandanne,,Nike Mercurial Superfly 9 Elite,39,171
Midfielder,France,Christophe Vincent,SC Bastia,adidas Predator Elite,32,178
Forward,Ghana,Christopher Antwi-Adjei,Schalke 04,Puma Ultra Ultimate,30,174
Midfielder,Haiti,Christopher Attys,,,23,186
Defender,Germany,Christopher Avevor,,Nike Phantom GX 2 Elite,32,184
Goalkeeper,Austria,Christopher Giuliani,,,25,187
Defender,France,Christopher Glombard,,Puma Ultra 1.1,35,178
Midfielder,Denmark,Christopher Jakobsen,,,30,189
Defender,France,Christopher Jullien,Montpellier HSC,Mizuno Morelia Neo IV Beta Japan,31,196
Defender,Germany,Christopher Lenz,1899 Hoffenheim,adidas X Crazyfast Elite LL,30,180
Forward,-,Christopher Maboulou,,adidas X Crazyfast Elite,34,185
Midfielder,Luxembourg,Christopher Martins,Spartak Moscow,Nike Mercurial Vapor 15 Elite,27,188
Forward,Germany,Christopher Negele,1. FC Heidenheim 1846,,19,172
Midfielder,France,Christopher Nkunku,Chelsea,adidas X Crazyfast Elite LL,27,177
Midfielder,Australia,Christopher Oikonomidis,,Nike Tiempo Legend 10 Elite,29,180
Defender,-,Christopher Operi,Le Havre AC,adidas X Crazyfast Elite,27,183
Defender,France,Christopher Rocchia,,Puma Ultra 1.4,26,172
Defender,-,Christopher Samba,,,40,195
Defender,Germany,Christopher Schindler,,Nike Phantom GX 2 Elite,34,188
Midfielder,Germany,Christopher Scott,Royal Antwerp FC,Nike Mercurial Superfly 9 Elite,22,178
Defender,Austria,Christopher Trimmel,1. FC Union Berlin,adidas Copa Pure 2 Elite KT,37,189
Defender,Cameroon,Christopher Wooh,Stade Rennais FC,Puma Ultra Ultimate,23,191
Forward,Greece,Christos Albanis,,Nike Mercurial Vapor XIII Elite,30,184
Midfielder,Greece,Christos Antoniou,,,26,170
Goalkeeper,Greece,Christos Chatzigiannakis,,adidas Predator Freak.1,22,188
Forward,Greece,Christos Giousis,,,25,177
Defender,Cyprus,Christos Kallis,,,26,181
Midfielder,Greece,Christos Kourfalidis,,,22,178
Midfielder,Greece,Christos Kryparakos,,,21,174
Goalkeeper,Greece,Christos Mandas,SS Lazio,adidas Predator Accuracy.1 L,23,189
Midfielder,Greece,Christos Mouzakitis,Olympiacos Piraeus,Puma Ultra 5 Ultimate,18,178
Midfielder,Greece,Christos Papadopoulos,,,20,188
Goalkeeper,Greece,Christos Talichmanidis,,adidas Predator Edge.1,23,187
Defender,Greece,Christos Tasoulis,,,33,178
Forward,Greece,Christos Tzolis,Club Brugge,adidas X Crazyfast Elite,22,179
Forward,England,Chuba Akpom,Ajax Amsterdam,Nike Mercurial Vapor 15 Elite,29,183
Midfielder,Spain,Chuca,,,27,181
Forward,Nigeria,Chukwubuikem Ikwuemesi,,Nike Mercurial Vapor 15 Elite,23,195
Defender,South Korea,Chul Hong,,Mizuno Morelia Neo III Beta Japan,34,176
Forward,Spain,Chuli,,Nike Phantom GX 2 Elite,33,177
Forward,Norway,Chuma Anene,,Nike Mercurial Vapor 15 Elite,31,189
Defender,Spain,Chumi,UD Almería,adidas Copa Pure 2 Elite KT,25,183
Defender,Spain,Chus Herrero,,,40,181
Defender,Wales,Cian Harries,,,27,185
Defender,Ireland,Ciaran Clark,,adidas Copa 18.1,35,185
Goalkeeper,Austria,Cican Stankovic,AEK Athens,Nike Mercurial Superfly 9 Elite,32,187
Defender,Bulgaria,Cicinho,,Nike Phantom GX 2 Elite,36,168
Midfielder,Turkey,Cihan Kahraman,,,26,175
Midfielder,Norway,Ciljan Skjelbred,,Nike Mercurial Vapor 15 Elite,37,175
Forward,Ireland,Cillian Sheridan,,adidas X Crazyfast Elite,35,195
Defender,Germany,Cimo Röcker,,,30,186
Forward,Romania,Ciprian Marica,,adidas X Crazyfast Elite,39,185
Goalkeeper,Romania,Ciprian Tatarusanu,,Mizuno Morelia Neo III Beta Japan,38,198
Defender,Italy,Ciro Capuano,,Mizuno Morelia Neo,43,185
Forward,Italy,Ciro De Angelis,,,34,182
Forward,Italy,Ciro Immobile,Beşiktaş JK,adidas F50 Elite,34,185
Goalkeeper,Italy,Ciro Polito,,Nike CTR360 Maestri,45,184
Midfielder,Belgium,Cisse Sandra,,adidas Copa Pure 2 Elite KT,21,184
Defender,England,CJ Egan-Riley,Burnley,adidas X Crazyfast Elite,22,183
Defender,Brazil,Claiton,,,40,186
Defender,Brazil,Claiton dos Santos,,Mizuno Wave Ignitus,40,186
Forward,France,Clarck N'Sikulu,,adidas X Crazyfast Elite,32,180
Defender,Italy,Claud Adjapong,,Puma Future 5.1 Netfit,26,180
Defender,France,Claude Dielna,,Nike Mercurial Superfly 9 Elite,37,184
Midfielder,Portugal,Claude Gonçalves,Legia Warsaw,adidas F50 Adizero 2015,30,174
Midfielder,Brazil,Claudemir,,,36,185
Midfielder,Brazil,Claudinho,Zenit St. Petersburg,Puma Ultra Ultimate,27,170
Forward,Guadeloupe,Claudio Beauvue,,Nike Mercurial Vapor 15 Elite,36,175
Goalkeeper,Chile,Claudio Bravo,,adidas Predator Elite,41,184
Defender,Italy,Claudio Cola,,,38,186
Midfielder,Italy,Claudio Marchisio,,Nike Mercurial Superfly 9 Elite,38,180
Forward,Spain,Claudio Medina,,adidas Predator Elite,31,186
Forward,Italy,Claudio Morra,,,29,180
Goalkeeper,Portugal,Cláudio Ramos,FC Porto,adidas Predator Elite,33,183
Forward,Argentina,Claudio Spinelli,,adidas Nemeziz.1,27,180
Defender,Italy,Claudio Terzi,,adidas ACE 16.1 Primeknit,40,180
Defender,Brazil,Cláudio Winck,,Nike Mercurial Vapor 15 Elite,30,183
Midfielder,Argentina,Claudio Yacob,,Nike Hypervenom Phantom III Elite DF,37,181
Forward,Romania,Claudiu Keseru,,Nike Magista Obra,38,178
Forward,Romania,Claudiu Micovschi,,Puma Future 7 Ultimate,25,180
Forward,Brazil,Clayton,,,29,173
Forward,Jamaica,Clayton Donaldson,,Nike Mercurial Vapor 15 Elite,40,185
Defender,Brazil,Cléber,,Nike Tiempo Legend 10 Elite,34,183
Midfielder,Germany,Clemens Fritz,,Nike Tiempo Legend 10 Elite,44,183
Defender,Germany,Clemens Riedel,SV Darmstadt 98,Nike Phantom GX Elite,21,186
Defender,-,Clément Akpa,AJ Auxerre,,23,181
Midfielder,France,Clément Chantôme,,Nike Tiempo Legend 10 Elite,37,180
Forward,France,Clément Depres,,adidas X Crazyfast Elite,30,188
Goalkeeper,Senegal,Clément Diop,,,31,185
Midfielder,France,Clément Grenier,,adidas Predator Accuracy.1,34,186
Defender,France,Clément Lenglet,Atlético de Madrid,Nike Tiempo Legend 10 Elite,29,186
Goalkeeper,France,Clément Maury,,,39,181
Defender,France,Clément Michelin,,adidas X Crazyfast Elite LL,27,179
Defender,France,Clément Vidal,AC Ajaccio,Nike Mercurial Vapor 15 Elite,24,181
Forward,United States,Clint Dempsey,,Nike Phantom GX 2 Elite,41,187
Defender,Angola,Clinton Mata,Olympique Lyonnais,adidas X Crazyfast+,32,180
Defender,England,Clinton Mola,,Puma Ultra Ultimate,23,184
Forward,Cameroon,Clinton N'Jie,,Nike Mercurial Superfly 9 Elite,31,175
Defender,France,Clinton Nsiala,Rangers FC,Puma Ultra 5 Ultimate,20,189
Goalkeeper,United States,Cody Cropper,,,31,191
Defender,England,Cody Drameh,Hull City,adidas X Speedportal+,23,181
Forward,Netherlands,Cody Gakpo,Liverpool,Puma Ultra 5 Ultimate,25,193
Forward,Nigeria,Cohen Bramall,,Puma Future 7 Ultimate,35,181
Defender,Spain,Coke,,Lotto Solista 200,37,176
Forward,United States,Cole Campbell,Borussia Dortmund,Nike Mercurial Vapor 15 Elite,18,170
Defender,England,Cole Kpekawa,,,28,191
Midfielder,Scotland,Cole McKinnon,Rangers FC,,21,174
Midfielder,England,Cole Palmer,Chelsea,Nike Mercurial Vapor 16 Elite,22,185
Midfielder,Mali,Coli Saco,,,22,197
Goalkeeper,Belgium,Colin Coosemans,RSC Anderlecht,,32,184
Defender,France,Colin Dagba,,Nike Mercurial Vapor 15 Elite,26,170
Defender,Norway,Colin Rösler,Malmö FF,,24,186
Forward,Germany,Collin Quaner,,adidas Predator Elite LL,33,191
Defender,Cameroon,Collins Fai,,Nike Mercurial Vapor XIII Elite,32,165
Defender,France,Côme Bianay Balcot,Torino FC,,19,188
Goalkeeper,Argentina,Conan Ledesma,,Nike Mercurial Vapor 15 Elite,31,186
Midfielder,Scotland,Connor Barron,Rangers FC,adidas Predator Elite LL,22,175
Defender,England,Connor Goldson,,Puma Future 7 Ultimate,32,191
Forward,England,Connor Mahoney,,adidas X 17.1,27,175
Midfielder,Australia,Connor Metcalfe,,Nike Mercurial Vapor 15 Elite,25,183
Defender,England,Connor Randall,,adidas Copa 20.1,29,180
Goalkeeper,England,Connor Ripley,,,31,191
Defender,Wales,Connor Roberts,Burnley,Nike Mercurial Vapor 15 Elite,29,175
Midfielder,Ireland,Connor Ronan,,adidas Copa Pure 2 Elite,26,171
Forward,Scotland,Connor Shields,,Nike Mercurial Vapor 15 Elite,27,186
Midfielder,Ireland,Connor Smith,,Nike Magista Opus,31,181
Forward,England,Connor Wickham,,Nike Phantom GX 2 Elite,31,189
Defender,Northern Ireland,Conor Bradley,Liverpool,Nike Phantom GX 2 Elite,21,181
Defender,England,Conor Coady,Leicester City,adidas Predator Elite,31,185
Midfielder,Ireland,Conor Coventry,,Nike Phantom GX 2 Elite,24,177
Midfielder,England,Conor Gallagher,Atlético de Madrid,Nike Mercurial Vapor 16 Elite,24,182
Midfielder,England,Conor Grant,,Nike Magista Opus II Elite,29,176
Goalkeeper,Northern Ireland,Conor Hazard,,,26,198
Midfielder,Ireland,Conor Henderson,,Nike Phantom GX 2 Elite,33,185
Midfielder,Ireland,Conor Hourihane,,adidas Copa Pure 2 Elite,33,181
Forward,England,Conor McAleny,,Nike Mercurial Vapor 15 Elite,32,175
Midfielder,Scotland,Conor McGrandles,,,29,183
Defender,Northern Ireland,Conor McLaughlin,,,33,183
Midfielder,Scotland,Conor McManus,,,28,185
Midfielder,France,Conor Mitchell,,,26,171
Midfielder,Ireland,Conor Noß,,adidas X Crazyfast Elite,24,181
Midfielder,Ireland,Conor Shaughnessy,,adidas X 19.1,28,191
Defender,England,Conor Townsend,,Nike Phantom Luna 2 Elite,31,183
Forward,Northern Ireland,Conor Washington,,,32,178
Forward,Denmark,Conrad Harder,Sporting CP,Nike Mercurial Vapor 16 Elite,19,185
Goalkeeper,Ireland,Conrad Logan,,Nike Tiempo Legend 10 Elite,38,188
Defender,Côte d'Ivoire,Constant Djakpa,,Puma Ultra 1.1,38,177
Goalkeeper,Germany,Constantin Frommann,,adidas Predator Elite LL,26,185
Defender,Romania,Constantin Nica,,Nike Mercurial Superfly 9 Elite,31,185
Midfielder,Cyprus,Constantinos Charalambidis,,Nike Mercurial Vapor 15 Elite,43,172
Defender,Belgium,Corentin Fiore,,,29,183
Forward,France,Corentin Jean,,Nike Mercurial Vapor XIII Elite,29,170
Goalkeeper,Belgium,Corentin Michel,ESTAC Troyes,,24,187
Goalkeeper,France,Corentin Schmittheissler,,,27,170
Midfielder,France,Corentin Tolisso,Olympique Lyonnais,Nike Phantom GX 2 Elite,30,181
Midfielder,Spain,Corona,,,43,175
Midfielder,Northern Ireland,Corry Evans,,,34,180
Defender,Senegal,Cory Sène,FC Viktoria Plzeň,,23,196
Forward,Italy,Cosimo Chiricò,,,33,169
Defender,Romania,Cosmin Moti,,Nike Tiempo Legend 10 Elite,40,183
Midfielder,Italy,Costantino Favasuli,,,20,178
Goalkeeper,Romania,Costel Pantilimon,,adidas X 16.1 Leather,37,202
Defender,Portugal,Costinha,Olympiacos Piraeus,Puma Ultra 5 Ultimate,24,181
Defender,Spain,Cote,Real Sporting de Gijón,Nike Mercurial Vapor 15 Elite,35,182
Forward,Morocco,Couhaib Driouech,PSV Eindhoven,Puma Ultra Ultimate,22,175
Forward,England,Courtney Baker-Richardson,,,29,185
Forward,Wales,Craig Bellamy,,Warrior Superheat,45,175
Defender,Northern Ireland,Craig Cathcart,,Nike Phantom GX 2 Elite,35,189
Defender,England,Craig Dawson,Wolves,adidas Copa Pure 2 Elite,34,188
Midfielder,England,Craig Gardner,,Nike Magista Opus II Elite,38,178
Forward,Australia,Craig Goodwin,,Nike Mercurial Vapor 14 Elite,33,183
Midfielder,England,Craig Noone,,adidas X Crazyfast Elite,37,177
Defender,Spain,Cristhian Mosquera,Valencia CF,Nike Phantom GX 2 Elite,20,191
Forward,Uruguay,Cristhian Stuani,Girona FC,Puma Future 7 Ultimate,38,184
Goalkeeper,Argentina,Cristian Álvarez,,Nike Tiempo Legend 10 Elite,39,186
Defender,Argentina,Cristian Ansaldi,,adidas Nemeziz.1,38,181
Midfielder,Italy,Cristian Battocchio,,Puma Future 7 Ultimate,32,177
Midfielder,Peru,Cristian Benavente,,Nike Tiempo Legend 10 Elite,30,172
Goalkeeper,Colombia,Cristian Bonilla,,adidas X 15.1,31,189
Defender,Colombia,Cristián Borja,,Nike Mercurial Superfly 9 Elite,31,179
Forward,Italy,Cristian Bunino,,,28,186
Forward,Italy,Cristian Buonaiuto,US Cremonese,Nike Mercurial Vapor 15 Elite,32,179
Forward,Italy,Cristian Carletti,,,28,185
Midfielder,Venezuela,Cristian Cásseres Jr.,Toulouse FC,adidas Predator Elite,24,176
Defender,Italy,Cristian Cerretti,,,23,189
Defender,Chile,Cristian Cuevas,,Nike Mercurial Vapor 15 Elite,29,175
Defender,Italy,Cristian Dell'Orco,,adidas Copa 20.1,30,183
Midfielder,Argentina,Cristian Espinoza,,adidas Predator Elite,29,172
Defender,Costa Rica,Cristian Gamboa,VfL Bochum,Nike Mercurial Superfly 9 Elite,35,175
Defender,Romania,Cristian Ganea,,Nike Mercurial Vapor 15 Elite,32,176
Defender,Spain,Cristian Glauder,Cádiz CF,,29,184
Forward,Spain,Cristian Herrera,Deportivo de La Coruña,Nike Mercurial Superfly 9 Elite,33,182
Goalkeeper,Albania,Cristian Jashari,,,18,184
Midfielder,Italy,Cristian Ledesma,,adidas Predator Elite,42,180
Defender,Argentina,Cristian Lema,,,34,190
Midfielder,Spain,Cristian Lobato,,Nike Phantom GX 2 Elite,35,174
Forward,Spain,Cristian López,,,35,185
Defender,Romania,Cristian Manea,,Nike Mercurial Vapor IX,27,183
Midfielder,Saudi Arabia,Cristian Martínez,,,34,170
Defender,Italy,Cristian Molinaro,,Nike Tiempo Legend VII Elite,41,182
Forward,Uruguay,Cristian Olivera,,,22,172
Forward,Italy,Cristian Pasquato,,,35,173
Forward,Argentina,Cristian Pavón,,adidas Copa 20.1,28,174
Forward,Ecuador,Cristian Penilla,,,33,174
Midfielder,Spain,Cristian Portu,,adidas Predator Elite,32,170
Midfielder,Italy,Cristian Raimondi,,Puma Ultra 1.1,43,182
Defender,Ecuador,Cristian Ramírez,Ferencváros TC,Nike Mercurial Vapor 15 Elite,30,172
Goalkeeper,Spain,Cristian Rivero,,adidas X Crazyfast Elite,26,188
Forward,Uruguay,Cristian Rodríguez,,Puma Future 7 Ultimate,39,178
Midfielder,United States,Cristian Roldán,,adidas X Crazyfast Elite,29,173
Defender,Argentina,Cristian Romero,Tottenham Hotspur,adidas Predator Elite,26,185
Midfielder,Spain,Cristian Salvador,Elche CF,,30,184
Defender,Romania,Cristian Săpunaru,,Nike Mercurial Superfly 9 Elite,40,187
Forward,Spain,Cristian Tello,,adidas Nemeziz.1,33,178
Defender,Colombia,Cristian Tovar,,,26,185
Midfielder,Italy,Cristian Volpato,US Sassuolo,adidas X Crazyfast+,21,187
Defender,Italy,Cristian Zaccardo,,Nike Phantom GX 2 Elite,43,184
Defender,Colombia,Cristián Zapata,,adidas Predator 20.1,38,187
Defender,Brazil,Cristiano,,Nike Phantom GT Elite,31,180
Defender,Italy,Cristiano Biraghi,ACF Fiorentina,adidas F50 Elite,32,185
Defender,Italy,Cristiano Del Grosso,,adidas Predator Elite,41,175
Forward,Italy,Cristiano Lombardi,,adidas Nemeziz.1,29,180
Defender,Italy,Cristiano Piccini,,adidas Copa Pure 2 Elite,32,189
Forward,Portugal,Cristiano Ronaldo,,Nike Mercurial Vapor 16 Elite,39,187
Forward,Spain,Cristo González,,adidas Nemeziz.1,27,178
Forward,Chile,Cristóbal Jorquera,,adidas X Crazyfast Elite,36,173
Goalkeeper,Chile,Cristopher Toselli,,Puma Ultra 1.1,36,180
Forward,Netherlands,Crysencio Summerville,West Ham United,Nike Mercurial Superfly 8 Elite,23,174
Forward,Colombia,Cucho Hernández,,Nike Mercurial Superfly 9 Elite,25,176
Defender,Curaçao,Cuco Martina,,Nike Mercurial Superfly 9 Elite,35,185
Forward,Spain,Curro Sánchez,,Nike Mercurial Superfly 9 Elite,29,176
Defender,England,Curtis Davies,,adidas Predator Elite,39,188
Defender,Australia,Curtis Good,,adidas Predator Elite,31,187
Midfielder,England,Curtis Jones,Liverpool,adidas F50 Elite,23,185
Defender,England,Curtis Obeng,,Nike Mercurial Superfly 9 Elite,35,173
Midfielder,Japan,Cy Goddard,,Nike Mercurial Vapor XI Elite,27,178
Forward,Eritrea,Cyle Larin,RCD Mallorca,adidas X Crazyfast Elite,29,188
Forward,Nigeria,Cyriel Dessers,Rangers FC,Puma Future 7 Ultimate,30,185
Goalkeeper,France,Cyril Fogacci,Gazélec Ajaccio,,28,183
Forward,Belgium,Cyril Ngonge,SSC Napoli,adidas F50 Elite LL,24,180
Forward,France,Cyril Théreau,,Nike Mercurial Vapor 15 Elite,41,189
Forward,Germany,Cyrill Akono,,Puma Future 6.1 Netfit,24,190
Forward,Burkina Faso,Cyrille Bayala,FC Sheriff Tiraspol,adidas X Speedportal.1,28,181
Defender,Ireland,Cyrus Christie,Swansea City,Nike Phantom GX 2 Elite,32,188
Defender,Belgium,Daam Foulon,,Nike Mercurial Vapor 14 Elite,25,180
Defender,Belgium,Daan Dierckx,,Puma Future 7 Ultimate,21,192
Midfielder,Belgium,Daan Heymans,,adidas X Crazyfast Elite,25,193
Defender,England,Dael Fry,Middlesbrough FC,Nike Tiempo Legend 10 Elite,27,190
Midfielder,Japan,Daichi Kamada,Crystal Palace,Nike Phantom GX 2 Elite,28,184
Midfielder,Japan,Daigo Kobayashi,,Nike Tiempo Legend 10 Elite,41,178
Defender,Japan,Daiki Hashioka,Luton Town,Nike Mercurial Vapor 15 Elite,25,184
Forward,Cape Verde,Dailon Rocha Livramento,Hellas Verona,,23,185
Forward,-,Daishawn Redan,,Nike Mercurial Superfly 9 Elite,23,176
Forward,Japan,Daizen Maeda,Celtic FC,Nike Mercurial Vapor 16 Elite,27,173
Defender,Brazil,Dalbert,,adidas X Crazyfast Elite LL,31,181
Midfielder,Guinea-bissau,Dálcio,Red Star Belgrade,,28,186
Goalkeeper,Bermuda,Dale Eve,,adidas Predator Elite,29,194
Midfielder,England,Dale Stephens,,adidas Predator Elite,35,185
Midfielder,Russia,Daler Kuzyaev,Le Havre AC,Nike Mercurial Vapor 14 Elite,31,182
Defender,Netherlands,Daley Blind,Girona FC,adidas Predator Elite FT,34,180
Defender,Netherlands,Daley Sinkgraven,UD Las Palmas,Nike Mercurial Vapor 15 Elite,29,179
Defender,-,Dalibor Vecerka,,,21,185
Defender,Italy,Dalibor Veselinovic,,,24,182
Defender,Jamaica,Damano Solomon,,,35,181
Forward,United States,DaMarcus Beasley,,Nike Mercurial Superfly 9 Elite,42,173
Forward,Senegal,Dame N'Doye,,Nike Mercurial Superfly 9 Elite,39,186
Defender,Spain,Damiá,,Mizuno Wave Ignitus,42,188
Forward,Poland,Damian Kadzior,,Nike Mercurial Vapor 15 Elite,32,175
Goalkeeper,Argentina,Damián Martínez,,Puma evoPOWER,32,193
Midfielder,Argentina,Damián Musto,,,37,182
Forward,Chile,Damián Pizarro,Udinese Calcio,,19,187
Midfielder,Spain,Damián Rodríguez,RC Celtic of Vigo,,21,180
Defender,Germany,Damian Roßbach,,adidas Predator LZ,31,188
Defender,Uruguay,Damián Suárez,,adidas X Crazyfast+,36,173
Midfielder,Poland,Damian Szymanski,AEK Athens,adidas F50 Elite,29,185
Defender,Netherlands,Damian van Bruggen,,,28,184
Midfielder,Eritrea,Damiano Pecile,,Nike Mercurial Vapor XIII Elite,22,179
Defender,Italy,Damiano Zanon,,adidas Predator LZ,41,177
Defender,France,Damien Da Silva,Clermont Foot 63,Nike Tiempo Legend 10 Elite,36,184
Defender,Ireland,Damien Delaney,,adidas X Crazyfast Elite LL,43,191
Midfielder,Ireland,Damien Duff,,Nike Phantom GX 2 Elite,45,177
Goalkeeper,France,Damien Dumont,,,25,178
Midfielder,France,Damien Le Tallec,,adidas Copa Pure 2 Elite,34,187
Midfielder,France,Damien Marcq,,,36,181
Goalkeeper,France,Damien Perquis,,Nike CTR360 Maestri,38,184
Defender,Poland,Damien Perquis,,Nike Tiempo Legend 10 Elite,40,184
Defender,Netherlands,Damil Dankerlui,,,28,172
Forward,Germany,Damion Downs,1. FC Köln,Nike Phantom GX Elite DF,20,192
Forward,Colombia,Damir Ceter,,Nike Phantom GT Elite,27,187
Midfielder,Bosnia and Herzegovina,Damir Vrančić,,adidas Predator Elite,39,184
Midfielder,Slovenia,Damjan Bohar,,adidas F50 Adizero,33,172
Defender,Serbia,Damjan Danicic,,,24,186
Defender,Slovenia,Damjan Marjanovic,,,28,175
Goalkeeper,-,Damjan Siskovski,,adidas Predator 20.1,29,193
Defender,Slovenia,Damjan Vuklišević,,Nike Phantom GX 2 Elite,29,193
Goalkeeper,Bulgaria,Damyan Hristov,PFC Ludogorets Razgrad,,22,188
Midfielder,England,Dan Barlaser,Middlesbrough FC,adidas Copa Pure 2 Elite KT,27,184
Defender,England,Dan Burn,Newcastle United,Nike Phantom GX 2 Elite,32,201
Defender,United States,Dan Gargan,,Nike Magista Opus,42,180
Midfielder,England,Dan Gosling,,Nike Phantom VNM Elite,34,180
Goalkeeper,United States,Dan Kennedy,,,42,186
Goalkeeper,England,Dan Langley,,adidas Predator 20.1,24,197
Forward,Switzerland,Dan Ndoye,Bologna FC 1909,Nike Mercurial Vapor XII Elite,24,184
Forward,England,Dan Nlundulu,,,25,185
Defender,England,Dan Potts,,Nike Mercurial Vapor 15 Elite,30,183
Defender,England,Dan Potts,,adidas Predator Elite,30,172
Forward,Moldova,Dan-Angelo Botan,FC Sheriff Tiraspol,,19,167
Defender,France,Dan-Axel Zagadou,VfB Stuttgart,Nike Phantom GX 2 Elite,25,196
Defender,Scotland,Dane Murray,,Nike Tiempo Legend 9 Elite,21,193
Midfielder,Cameroon,Danel Dongmo,,,23,182
Forward,Luxembourg,Danel Sinani,,adidas Predator Elite,27,185
Forward,Burkina Faso,Dango Ouattara,Bournemouth,adidas F50 Elite,22,177
Forward,Spain,Dani Abalo,,Nike Mercurial Vapor 15 Elite,37,178
Defender,Brazil,Dani Alves,,adidas X Speedportal+,41,172
Midfielder,Spain,Dani Benítez,,Nike Mercurial Superfly 9 Elite,37,181
Defender,Spain,Dani Calvo,,adidas X 19+,30,193
Goalkeeper,Spain,Dani Cárdenas,Rayo Vallecano,Puma Ultra 5 Ultimate,27,186
Defender,Spain,Dani Castellano,,Nike Magista Opus II Elite,37,179
Midfielder,Spain,Dani Ceballos,Real Madrid,Nike Phantom Luna 2 Elite,28,179
Midfielder,Netherlands,Dani de Wit,VfL Bochum,adidas Nemeziz.1,26,184
Forward,Spain,Dani Escriche,,Nike Mercurial Vapor 15 Elite,26,178
Defender,Spain,Dani Estrada,,adidas Predator Elite,38,179
Midfielder,Spain,Dani García,Olympiacos Piraeus,adidas Predator Elite,34,180
Forward,Spain,Dani Gómez,Valencia CF,Puma Ultra 5 Ultimate,26,178
Goalkeeper,Venezuela,Dani Hernández,,Nike Tiempo Legend 10 Elite,39,197
Forward,Spain,Dani Iglesias,,,29,173
Goalkeeper,Spain,Dani Lorenzo,,,31,180
Goalkeeper,Spain,Dani Martín,,adidas Predator Elite,26,187
Forward,Spain,Dani Nieto,,adidas X Crazyfast Elite,33,173
Forward,Spain,Dani Ojeda,,,30,178
Midfielder,Spain,Dani Olmo,FC Barcelona,adidas F50 Elite,26,179
Forward,Spain,Dani Pacheco,,adidas 11pro,34,169
Midfielder,Spain,Dani Parejo,Villarreal CF,adidas Copa Pure 2 Elite,35,182
Defender,Spain,Dani Pinillos,,,32,183
Midfielder,Spain,Dani Quintana,,,37,173
Forward,Spain,Dani Raba,CD Leganés,Nike Phantom GX Elite,29,185
